complex_pdb,type,partner_pdb,enzyme,length,protein_length,antibody,candidate,complex_chain
1A2K_C:AB,OG,1QG4_A,1,,,0,,
1A2K_C:AB,OG,1OUN_AB,0,127,127,0,1,AB
1AK4_A:D,OX,2CPL_A,1,,,0,,
1AK4_A:D,OX,4J93_A,0,145,"1,435",0,,
1AKJ_AB:DE,OX,2CLR_DE,0,276,365,0,,
1AKJ_AB:DE,OX,1CD8_AB,0,120,235,0,,
1ATN_A:D,OX,1IJJ_B,0,373,377,0,,
1ATN_A:D,OX,3DNI_A,1,,,0,,
1AVZ_B:C,OX,1AVV_A,0,151,206,0,,
1AVZ_B:C,OX,1FYN_A,1,,,0,,
1B6C_A:B,OX,1D6O_A,1,,,0,,
1B6C_A:B,OX,1IAS_A,1,,,0,,
1DE4_AB:CF,OX,1A6Z_AB,0,275,348,0,,
1DE4_AB:CF,OX,1CX8_AB,0,640,760,0,,
1E4K_AB:C,OR,2DTQ_AB,,,,1,,
1E4K_AB:C,OR,1FNL_A,,,,1,,
1E96_A:B,OG,1MH1_A,1,192,192,0,0,
1E96_A:B,OG,1HH8_A,0,203,526,0,,
1EER_A:BC,OR,1BUY_A,0,166,166,0,1,A
1EER_A:BC,OR,1ERN_AB,0,227,508,0,,
1EFN_B:A,OX,1AVV_A,0,152,206,0,,
1EFN_B:A,OX,1FYN_A,1,,,,,
1FC2_C:D,OX,1BDD_A,,,,1,,
1FC2_C:D,OX,1FC1_AB,,,,1,,
1FFW_A:B,OX,3CHY_A,0,128,129,0,1,A
1FFW_A:B,OX,1FWP_A,1,,,,,
1FQJ_A:B,OG,1TND_C,0,,,,,
1FQJ_A:B,OG,1FQI_A,0,,,,,
1GCQ_B:C,OX,1GRI_B,0,,,,,
1GCQ_B:C,OX,1GCP_B,0,,,,,
1GPW_A:B,OX,1THF_D,1,,,,,
1GPW_A:B,OX,1K9V_F,1,,,,,
1GRN_A:B,OG,1A4R_A,,,,,0,
1GRN_A:B,OG,1RGP_A,,,,,0,
1H1V_A:G,OX,1IJJ_B,,,,,0,
1H1V_A:G,OX,1P8X_A,,,,,0,
1H9D_A:B,OX,1EAN_A,,,,,0,
1H9D_A:B,OX,1ILF_A(1),,,,,0,
1HCF_AB:X,OR,1B98_AM,,,,,0,
1HCF_AB:X,OR,1WWB_X,,,,,0,
1HE8_B:A,OG,821P_A,1,,,,,
1HE8_B:A,OG,1E8Z_A,1,,,,,
1I2M_A:B,OG,1QG4_A,0,216,216,,1,A
1I2M_A:B,OG,1A12_A,0,402,421,,1,B
1I4D_D:AB,OG,1MH1_A,1,192,192,,0,
1I4D_D:AB,OG,1I49_AB,0,,,,0,
1IB1_AB:E,OX,1QJB_AB,0,245,245,,1,AB
1IB1_AB:E,OX,1KUY_A,1,,,,,
1IBR_A:B,OG,1QG4_A,1,,,,,
1IBR_A:B,OG,1F59_A,,,,,0,
1J2J_A:B,OG,1O3Y_A,,,,,0,
1J2J_A:B,OG,1OXZ_A,,,,,0,
1K5D_AB:C,OG,1RRP_AB,0,204,216,,1,AB
1K5D_AB:C,OG,1YRG_B,0,386,386,,1,C
1KAC_A:B,OR,1NOB_F,,,,,0,
1KAC_A:B,OR,1F5W_B,,,,,0,
1KLU_AB:D,OX,1H15_AB,,,,,0,
1KLU_AB:D,OX,1STE_A,,,,,0,
1KTZ_A:B,OR,1TGK_A,0,112,112,,1,A
1KTZ_A:B,OR,1M9Z_A,1,,,,,
1KXP_A:D,OX,1IJJ_B,,,,,1,A
1KXP_A:D,OX,1KW2_B,0,458,458,,1,D
1LFD_B:A,OG,5P21_A,1,,,,,
1LFD_B:A,OG,1LXD_A,,,,,0,
1M27_AB:C,OX,1D4T_AB,0,104,128,,0,A
1M27_AB:C,OX,3UA6_A,,,,,0,
1MQ8_A:B,OX,1IAM_A,,,,,0,
1MQ8_A:B,OX,1MQ9_A,,,,,0,
1NVU_Q:S,OG,1LF0_A,,,,,0,
1NVU_Q:S,OG,2II0_B,,,,,0,
1NVU_R:S,OG,1LF0_A,,,,,0,
1NVU_R:S,OG,2II0_B,,,,,0,
1PVH_A:B,OR,1BQU_A,0,,,,0,
1PVH_A:B,OR,1EMR_A,0,169,180,,1,B
1QA9_A:B,OX,1HNF_A,,,,,0,
1QA9_A:B,OX,1CCZ_A,,,,,0,
1RLB_ABCD:E,OX,2PAB_ABCD,0,127,127,,1,ABCD
1RLB_ABCD:E,OX,1HBP_A,0,174,183,,1,E
1RV6_VW:X,OR,1FZV_AB,,,,,0,
1RV6_VW:X,OR,1QSZ_A,,,,,0,
1S1Q_A:B,OX,2F0R_A,,,,,,
1S1Q_A:B,OX,1YJ1_A,0,76,76,,1,B
1T6B_X:Y,OR,1ACC_A,,,,,0,
1T6B_X:Y,OR,1SHU_X,,,,,0,
1WQ1_R:G,OG,6Q21_D,1,,,,,
1WQ1_R:G,OG,1WER_A,1,,,,,
1XD3_A:B,OX,1UCH_A,,,,,0,
1XD3_A:B,OX,1YJ1_A,,,,,0,
1XQS_A:C,OX,1XQR_A,,,,,0,
1XQS_A:C,OX,1S3X_A,,,,,0,
